"Date","Price","Open","High","Low","Vol.","Change %"
"01/23/2024","899.91","890.50","912.36","894.73","","0.77%"
"01/22/2024","893.05","898.50","908.83","894.53","","-0.75%"
"01/19/2024","899.83","907.50","919.68","895.29","","-0.81%"
"01/18/2024","907.17","883.05","912.03","884.90","","2.70%"
"01/17/2024","883.35","894.92","902.01","879.49","","-1.30%"
"01/16/2024","894.95","912.64","917.89","896.42","","-2.21%"
"01/15/2024","915.19","905.50","921.64","909.87","","1.06%"
"01/12/2024","905.56","913.94","939.69","907.69","","-1.03%"
"01/11/2024","915.01","918.29","934.58","910.90","","-0.44%"
"01/10/2024","919.06","929.50","941.88","918.59","","-1.18%"
"01/09/2024","930.01","943.75","956.99","932.78","","-1.67%"
"01/08/2024","945.85","959.00","969.18","946.78","","-1.50%"
"01/05/2024","960.21","956.68","971.86","945.85","","0.35%"
"01/04/2024","956.88","971.53","979.79","956.18","","-1.46%"
"01/03/2024","971.06","981.66","990.96","966.78","","-1.06%"
"01/02/2024","981.48","987.50","1,002.24","981.42","","-1.11%"
"01/01/2024","992.46","995.00","995.85","991.50","","0.53%"
"12/29/2023","987.25","1,002.50","1,011.79","991.00","","-1.55%"
"12/28/2023","1,002.75","996.67","1,015.70","993.16","","0.62%"
"12/27/2023","996.59","977.50","1,001.37","971.87","","1.82%"
"12/26/2023","978.75","971.69","984.21","971.81","","0.28%"
"12/25/2023","976.03","977.26","977.97","976.03","","0.55%"
"12/22/2023","970.67","963.10","985.20","962.68","","0.80%"
"12/21/2023","962.99","959.75","972.73","951.90","","0.45%"
"12/20/2023","958.67","955.62","972.41","949.84","","0.46%"
"12/19/2023","954.25","945.00","964.82","941.28","","0.95%"
"12/18/2023","945.30","940.53","960.84","941.98","","0.59%"
"12/15/2023","939.75","958.50","968.95","939.69","","-1.90%"
"12/14/2023","957.98","935.75","967.77","936.64","","2.54%"
"12/13/2023","934.25","930.25","940.61","918.05","","0.53%"
"12/12/2023","929.31","910.01","933.67","910.47","","2.12%"
"12/11/2023","909.98","916.00","930.40","911.70","","-0.52%"
"12/08/2023","914.75","907.38","928.32","907.85","","0.82%"
"12/07/2023","907.29","889.91","918.61","889.72","","1.97%"
"12/06/2023","889.73","899.08","915.27","889.89","","-1.04%"
"12/05/2023","899.06","916.77","924.75","897.21","","-1.92%"
"12/04/2023","916.68","928.00","946.50","913.17","","-1.69%"
"12/01/2023","932.43","926.66","940.13","921.37","","0.59%"
"11/30/2023","926.93","931.84","944.00","924.76","","-0.53%"
"11/29/2023","931.90","939.95","949.78","926.14","","-0.85%"
"11/28/2023","939.91","918.65","950.66","917.00","","2.31%"
"11/27/2023","918.69","929.50","942.56","913.68","","-1.28%"
"11/24/2023","930.61","913.68","939.28","910.32","","1.64%"
"11/23/2023","915.55","921.92","932.64","915.59","","-0.72%"
"11/22/2023","922.23","934.20","944.21","919.56","","-1.30%"
"11/21/2023","934.38","918.34","943.71","918.35","","1.72%"
"11/20/2023","918.60","894.50","925.95","896.36","","2.18%"
"11/17/2023","898.99","892.22","911.83","892.94","","0.73%"
"11/16/2023","892.44","895.77","907.90","892.00","","-0.40%"
"11/15/2023","896.04","885.50","907.03","884.51","","1.22%"
"11/14/2023","885.26","864.23","894.92","864.00","","2.42%"
"11/13/2023","864.34","839.50","869.79","843.97","","2.91%"
"11/10/2023","839.87","859.82","865.21","842.71","","-2.30%"
"11/09/2023","859.67","866.84","877.19","858.66","","-0.78%"
"11/08/2023","866.43","891.08","897.75","868.84","","-2.77%"
"11/07/2023","891.15","905.31","911.50","892.65","","-1.55%"
"11/06/2023","905.16","929.05","938.02","907.74","","-2.67%"
"11/03/2023","930.02","921.66","939.64","923.37","","1.09%"
"11/02/2023","920.00","922.00","936.67","913.28","","-0.05%"
"11/01/2023","920.50","932.39","938.16","919.64","","-1.41%"
"10/31/2023","933.67","931.07","945.21","930.72","","0.45%"
"10/30/2023","929.50","901.00","937.76","902.96","","2.84%"
"10/27/2023","903.81","900.00","913.87","898.97","","0.40%"
"10/26/2023","900.25","902.50","915.27","895.69","","-0.27%"
"10/25/2023","902.67","884.00","911.79","880.80","","1.99%"
"10/24/2023","885.06","896.00","905.34","882.66","","-1.28%"
"10/23/2023","896.50","896.00","904.20","889.61","","0.20%"
"10/20/2023","894.75","889.00","908.98","888.83","","0.46%"
"10/19/2023","890.68","882.50","899.52","877.68","","0.58%"
"10/18/2023","885.50","897.00","910.54","881.41","","-1.30%"
"10/17/2023","897.17","890.50","906.14","890.37","","0.72%"
"10/16/2023","890.75","878.50","897.22","876.80","","1.10%"
"10/13/2023","881.03","868.00","888.75","864.67","","1.85%"
"10/12/2023","865.01","885.50","899.47","867.35","","-2.63%"
"10/11/2023","888.40","882.50","893.82","876.43","","0.90%"
"10/10/2023","880.44","881.00","896.04","882.05","","-0.65%"
"10/09/2023","886.23","878.50","893.68","874.50","","1.06%"
"10/06/2023","876.93","859.50","886.05","853.82","","2.63%"
"10/05/2023","854.50","866.00","876.21","856.90","","-1.36%"
"10/04/2023","866.25","871.00","881.76","862.78","","-0.60%"
"10/03/2023","871.50","877.00","887.08","870.87","","-0.66%"
"10/02/2023","877.25","906.76","915.02","879.54","","-3.01%"
"09/29/2023","904.46","908.00","928.58","904.39","","0.00%"
"09/28/2023","904.50","888.44","912.26","889.26","","1.95%"
"09/27/2023","887.17","902.50","913.69","885.77","","-1.86%"
"09/26/2023","904.02","913.00","918.11","901.25","","-0.79%"
"09/25/2023","911.26","928.50","934.00","912.77","","-1.63%"
"09/22/2023","926.32","917.53","944.39","921.94","","0.77%"
"09/21/2023","919.25","926.60","932.34","914.60","","-1.00%"
"09/20/2023","928.55","943.00","948.72","929.78","","-1.14%"
"09/19/2023","939.26","933.00","953.28","932.01","","0.65%"
"09/18/2023","933.17","926.00","940.49","928.97","","0.88%"
"09/15/2023","925.05","906.00","933.47","909.11","","2.07%"
"09/14/2023","906.25","900.00","914.32","899.84","","0.67%"
"09/13/2023","900.22","908.50","914.32","898.17","","-1.09%"
"09/12/2023","910.18","898.39","916.30","894.17","","1.33%"
"09/11/2023","898.25","889.50","908.88","894.38","","0.63%"
"09/08/2023","892.64","903.00","914.44","892.52","","-1.17%"
"09/07/2023","903.25","908.50","917.85","901.90","","-0.61%"
"09/06/2023","908.75","925.50","933.33","907.16","","-1.88%"
"09/05/2023","926.21","951.68","957.33","928.97","","-2.91%"
"09/04/2023","953.98","959.50","968.06","951.91","","-0.68%"
"09/01/2023","960.56","967.23","989.51","962.77","","-0.72%"
"08/31/2023","967.54","973.50","984.53","967.89","","-0.63%"
"08/30/2023","973.70","976.00","988.58","973.75","","-0.26%"
"08/29/2023","976.25","970.00","985.35","964.93","","1.22%"
"08/28/2023","964.50","944.00","973.66","938.94","","2.11%"
"08/25/2023","944.55","935.00","952.49","933.46","","1.18%"
"08/24/2023","933.56","928.84","945.23","928.01","","0.41%"
"08/23/2023","929.75","918.50","940.79","922.79","","1.20%"
"08/22/2023","918.75","909.53","930.75","911.20","","1.05%"
"08/21/2023","909.22","908.50","918.02","903.58","","-0.07%"
"08/18/2023","909.86","892.65","916.78","895.59","","2.29%"
"08/17/2023","889.50","882.24","911.55","884.66","","0.83%"
"08/16/2023","882.19","887.55","899.58","885.37","","-0.70%"
"08/15/2023","888.41","899.53","906.84","885.82","","-1.51%"
"08/14/2023","902.00","908.50","919.30","893.13","","-1.13%"
"08/11/2023","912.33","909.00","922.99","906.40","","0.63%"
"08/10/2023","906.59","888.27","917.52","891.39","","2.06%"
"08/09/2023","888.28","898.00","911.31","890.76","","-1.33%"
"08/08/2023","900.22","919.50","925.29","898.05","","-2.12%"
"08/07/2023","919.69","921.00","932.08","913.84","","-0.27%"
"08/04/2023","922.15","914.00","929.59","911.49","","0.86%"
"08/03/2023","914.25","921.50","927.43","915.43","","-0.73%"
"08/02/2023","921.00","931.00","939.57","921.11","","-1.09%"
"08/01/2023","931.17","949.00","956.96","923.92","","-1.90%"
"07/31/2023","949.20","936.00","961.97","927.07","","1.48%"
"07/28/2023","935.35","935.50","945.63","930.07","","-0.07%"
"07/27/2023","936.00","961.50","977.25","934.72","","-2.60%"
"07/26/2023","961.00","967.13","973.35","953.44","","-0.41%"
"07/25/2023","965.00","956.41","979.54","959.76","","0.90%"
"07/24/2023","956.35","962.85","970.85","956.69","","-0.54%"
"07/21/2023","961.53","953.00","969.11","954.82","","0.84%"
"07/20/2023","953.50","970.56","980.62","955.20","","-2.00%"
"07/19/2023","973.00","982.00","991.03","972.01","","-0.99%"
"07/18/2023","982.77","975.50","996.16","976.89","","0.73%"
"07/17/2023","975.67","969.15","984.86","965.42","","0.42%"
"07/14/2023","971.57","972.50","981.16","964.21","","-0.12%"
"07/13/2023","972.78","950.03","980.50","952.81","","2.78%"
"07/12/2023","946.50","924.00","959.79","927.47","","2.41%"
"07/11/2023","924.25","925.81","940.31","924.15","","-0.27%"
"07/10/2023","926.75","909.50","934.18","906.32","","2.04%"
"07/07/2023","908.24","901.13","922.22","902.30","","0.73%"
"07/06/2023","901.67","915.29","927.32","895.30","","-1.53%"
"07/05/2023","915.70","915.78","925.18","910.63","","0.10%"
"07/04/2023","914.81","908.74","931.32","913.29","","0.92%"
"07/03/2023","906.50","900.89","919.81","896.30","","0.58%"
"06/30/2023","901.25","897.00","913.65","889.34","","0.77%"
"06/29/2023","894.39","911.04","924.46","891.71","","-1.80%"
"06/28/2023","910.75","922.53","928.43","903.19","","-1.51%"
"06/27/2023","924.67","923.00","938.70","918.38","","0.05%"
"06/26/2023","924.17","916.96","940.20","921.64","","0.76%"
"06/23/2023","917.24","922.50","931.93","918.87","","-0.62%"
"06/22/2023","923.00","943.50","951.29","923.72","","-1.96%"
"06/21/2023","941.43","959.59","966.27","945.47","","-2.19%"
"06/20/2023","962.50","973.95","980.77","955.87","","-1.37%"
"06/19/2023","975.85","980.27","986.96","976.15","","-0.60%"
"06/16/2023","981.75","986.00","1,001.20","977.01","","-0.38%"
"06/15/2023","985.50","975.38","994.73","965.31","","1.05%"
"06/14/2023","975.25","975.50","987.29","971.11","","-0.13%"
"06/13/2023","976.50","989.79","1,002.14","977.80","","-1.36%"
"06/12/2023","990.00","1,007.03","1,013.38","990.63","","-1.84%"
"06/09/2023","1,008.54","1,007.50","1,024.16","1,000.63","","-0.16%"
"06/08/2023","1,010.17","1,017.50","1,031.78","1,009.60","","-0.82%"
"06/07/2023","1,018.49","1,031.50","1,049.93","1,020.42","","-1.28%"
"06/06/2023","1,031.67","1,030.00","1,042.90","1,024.96","","0.11%"
"06/05/2023","1,030.50","1,004.50","1,041.36","1,005.18","","2.69%"
"06/02/2023","1,003.50","1,005.00","1,020.96","1,000.89","","-0.27%"
"06/01/2023","1,006.23","993.00","1,016.14","996.53","","1.31%"
"05/31/2023","993.25","1,017.00","1,027.28","996.81","","-2.05%"
"05/30/2023","1,014.00","1,023.72","1,043.18","1,018.07","","-1.03%"
"05/29/2023","1,024.56","1,023.68","1,037.46","1,022.80","","0.21%"
"05/26/2023","1,022.46","1,020.00","1,038.00","1,022.51","","0.19%"
"05/25/2023","1,020.50","1,022.00","1,036.28","1,018.62","","-0.32%"
"05/24/2023","1,023.77","1,047.50","1,060.33","1,022.92","","-2.31%"
"05/23/2023","1,048.00","1,067.00","1,074.48","1,052.24","","-1.80%"
"05/22/2023","1,067.19","1,063.08","1,082.83","1,059.54","","0.42%"
"05/19/2023","1,062.74","1,048.50","1,079.60","1,051.81","","1.31%"
"05/18/2023","1,049.00","1,072.00","1,077.52","1,051.06","","-1.84%"
"05/17/2023","1,068.66","1,057.00","1,081.50","1,061.69","","1.09%"
"05/16/2023","1,057.17","1,064.50","1,074.88","1,057.42","","-0.74%"
"05/15/2023","1,065.00","1,054.57","1,075.52","1,056.71","","1.47%"
"05/12/2023","1,049.55","1,093.40","1,104.74","1,053.32","","-4.04%"
"05/11/2023","1,093.69","1,113.09","1,122.57","1,087.02","","-1.83%"
"05/10/2023","1,114.11","1,103.40","1,129.22","1,100.35","","0.86%"
"05/09/2023","1,104.67","1,070.96","1,111.13","1,068.65","","3.18%"
"05/08/2023","1,070.61","1,057.56","1,090.09","1,060.29","","1.08%"
"05/05/2023","1,059.17","1,043.74","1,067.58","1,038.34","","1.92%"
"05/04/2023","1,039.25","1,055.47","1,066.26","1,035.55","","-0.98%"
"05/03/2023","1,049.50","1,062.00","1,077.44","1,048.97","","-1.50%"
"05/02/2023","1,065.50","1,051.00","1,071.27","1,044.76","","1.50%"
"05/01/2023","1,049.75","1,071.03","1,092.32","1,052.79","","-2.26%"
"04/28/2023","1,074.00","1,078.68","1,086.69","1,065.26","","-0.28%"
"04/27/2023","1,077.00","1,089.00","1,101.66","1,074.40","","-1.19%"
"04/26/2023","1,090.00","1,083.00","1,110.66","1,086.85","","0.36%"
"04/25/2023","1,086.07","1,084.89","1,096.05","1,066.94","","0.38%"
"04/24/2023","1,082.00","1,117.24","1,122.19","1,083.19","","-3.76%"
"04/21/2023","1,124.28","1,090.50","1,135.03","1,088.58","","2.84%"
"04/20/2023","1,093.20","1,089.50","1,100.42","1,080.70","","0.29%"
"04/19/2023","1,090.00","1,079.28","1,097.51","1,060.74","","0.69%"
"04/18/2023","1,082.50","1,048.08","1,091.05","1,048.96","","3.29%"
"04/17/2023","1,047.98","1,041.45","1,060.29","1,039.73","","0.32%"
"04/14/2023","1,044.59","1,047.78","1,060.54","1,036.51","","-0.25%"
"04/13/2023","1,047.16","1,016.71","1,060.80","1,016.01","","3.14%"
"04/12/2023","1,015.25","994.96","1,026.74","997.26","","2.08%"
"04/11/2023","994.58","992.50","1,012.15","993.59","","0.29%"
"04/10/2023","991.75","1,005.72","1,019.33","989.25","","-1.56%"
"04/06/2023","1,007.43","997.71","1,015.49","997.91","","1.03%"
"04/05/2023","997.19","1,017.50","1,030.37","994.00","","-1.96%"
"04/04/2023","1,017.17","987.70","1,025.10","983.87","","3.19%"
"04/03/2023","985.68","989.55","1,002.36","980.65","","-0.57%"
"03/31/2023","991.31","985.54","1,000.16","978.05","","0.57%"
"03/30/2023","985.71","966.24","992.57","965.93","","1.91%"
"03/29/2023","967.25","962.91","975.53","954.06","","0.42%"
"03/28/2023","963.25","972.97","981.97","960.08","","-0.87%"
"03/27/2023","971.67","978.37","984.33","963.08","","-0.53%"
"03/24/2023","976.84","985.19","992.93","959.86","","-0.77%"
"03/23/2023","984.44","980.51","995.84","975.55","","0.66%"
"03/22/2023","978.00","970.30","1,002.40","973.56","","0.95%"
"03/21/2023","968.75","988.70","997.32","963.68","","-1.97%"
"03/20/2023","988.25","976.33","1,005.86","966.63","","1.28%"
"03/17/2023","975.76","972.04","1,000.72","963.32","","0.30%"
"03/16/2023","972.80","959.50","981.30","961.98","","1.07%"
"03/15/2023","962.50","980.55","994.02","951.12","","-2.05%"
"03/14/2023","982.63","997.88","1,003.96","978.06","","-1.34%"
"03/13/2023","996.00","961.00","1,006.56","960.27","","3.84%"
"03/10/2023","959.20","944.21","976.54","933.41","","1.58%"
"03/09/2023","944.29","937.27","963.80","935.20","","0.77%"
"03/08/2023","937.12","929.79","951.14","932.81","","0.79%"
"03/07/2023","929.76","975.78","983.63","930.43","","-4.72%"
"03/06/2023","975.83","973.50","982.72","963.38","","-0.17%"
"03/03/2023","977.44","960.10","985.24","963.40","","1.81%"
"03/02/2023","960.08","955.34","968.69","948.51","","0.52%"
"03/01/2023","955.12","951.09","972.62","950.93","","0.29%"
"02/28/2023","952.35","939.11","963.13","933.55","","1.48%"
"02/27/2023","938.50","906.00","955.97","907.80","","3.20%"
"02/24/2023","909.44","947.26","954.10","909.48","","-3.98%"
"02/23/2023","947.17","949.01","965.01","942.67","","-0.18%"
"02/22/2023","948.85","942.49","965.15","937.75","","0.65%"
"02/21/2023","942.68","924.50","950.56","922.85","","1.73%"
"02/20/2023","926.64","915.65","943.85","917.57","","1.10%"
"02/17/2023","916.60","920.16","926.41","909.39","","-0.39%"
"02/16/2023","920.22","915.01","933.23","910.27","","0.57%"
"02/15/2023","914.99","930.56","939.41","915.96","","-1.68%"
"02/14/2023","930.60","953.65","962.72","930.81","","-2.40%"
"02/13/2023","953.51","943.00","960.57","937.83","","0.95%"
"02/10/2023","944.53","953.83","970.57","946.81","","-1.03%"
"02/09/2023","954.38","969.99","989.61","955.20","","-1.61%"
"02/08/2023","969.95","974.06","992.78","971.99","","-0.37%"
"02/07/2023","973.56","971.72","985.58","965.01","","0.18%"
"02/06/2023","971.84","972.00","987.28","968.90","","-0.22%"
"02/03/2023","974.02","1,021.48","1,035.38","974.74","","-4.65%"
"02/02/2023","1,021.55","1,003.89","1,039.63","1,007.42","","1.80%"
"02/01/2023","1,003.51","1,011.05","1,019.03","993.53","","-0.76%"
"01/31/2023","1,011.15","1,009.48","1,024.19","991.31","","0.23%"
"01/30/2023","1,008.83","1,011.07","1,024.72","1,005.80","","-0.32%"
"01/27/2023","1,012.08","1,018.18","1,027.33","999.73","","-0.59%"
"01/26/2023","1,018.05","1,039.45","1,046.71","1,016.00","","-2.06%"
"01/25/2023","1,039.42","1,057.17","1,064.00","1,032.25","","-1.66%"
"01/24/2023","1,056.96","1,046.61","1,064.82","1,043.16","","0.97%"
"01/23/2023","1,046.78","1,038.00","1,056.31","1,029.37","","0.33%"
"01/20/2023","1,043.31","1,032.91","1,057.31","1,020.94","","1.02%"
"01/19/2023","1,032.80","1,037.77","1,049.88","1,011.38","","-0.50%"
"01/18/2023","1,037.96","1,039.46","1,080.13","1,031.56","","-0.14%"
"01/17/2023","1,039.44","1,061.00","1,070.82","1,038.42","","-2.16%"
"01/16/2023","1,062.38","1,064.00","1,077.08","1,053.74","","-0.22%"
"01/13/2023","1,064.76","1,067.96","1,082.94","1,049.19","","-0.28%"
"01/12/2023","1,067.70","1,070.49","1,088.82","1,059.49","","-0.26%"
"01/11/2023","1,070.49","1,079.90","1,106.70","1,067.48","","-0.96%"
"01/10/2023","1,080.89","1,076.00","1,092.45","1,072.42","","0.20%"
"01/09/2023","1,078.68","1,089.00","1,104.63","1,078.66","","-1.04%"
"01/06/2023","1,090.06","1,055.50","1,098.06","1,048.85","","3.20%"
"01/05/2023","1,056.28","1,078.68","1,091.88","1,055.38","","-2.07%"
"01/04/2023","1,078.64","1,084.50","1,102.38","1,073.81","","-0.48%"
"01/03/2023","1,083.88","1,066.49","1,095.49","1,066.20","","0.96%"
"01/02/2023","1,073.62","1,073.33","1,077.59","1,070.99","","0.38%"
"12/30/2022","1,069.58","1,053.00","1,075.38","1,049.88","","1.43%"
"12/29/2022","1,054.51","1,007.95","1,065.38","1,006.69","","4.64%"
"12/28/2022","1,007.77","1,020.58","1,038.25","1,004.63","","-1.19%"
"12/27/2022","1,019.87","1,027.00","1,036.26","1,000.08","","-0.16%"
"12/26/2022","1,021.50","1,021.50","1,030.45","1,025.50","","-0.09%"
"12/23/2022","1,022.37","978.48","1,036.81","978.88","","4.60%"
"12/22/2022","977.45","998.46","1,011.20","971.19","","-2.10%"
"12/21/2022","998.37","1,008.33","1,018.56","994.38","","-0.92%"
"12/20/2022","1,007.62","976.50","1,020.50","977.00","","2.84%"
"12/19/2022","979.78","987.00","1,014.56","977.44","","-1.17%"
"12/16/2022","991.39","1,005.72","1,015.97","988.31","","-1.47%"
"12/15/2022","1,006.21","1,026.50","1,034.31","1,001.56","","-2.20%"
"12/14/2022","1,028.84","1,032.87","1,042.88","1,019.31","","-0.38%"
"12/13/2022","1,032.76","1,002.19","1,050.75","997.12","","3.11%"
"12/12/2022","1,001.60","1,024.00","1,029.94","994.31","","-2.03%"
"12/09/2022","1,022.32","1,003.31","1,035.38","995.81","","1.94%"
"12/08/2022","1,002.89","1,002.57","1,018.50","998.80","","0.03%"
"12/07/2022","1,002.61","988.86","1,021.88","979.69","","1.41%"
"12/06/2022","988.65","997.63","1,010.63","986.00","","-0.90%"
"12/05/2022","997.64","1,016.00","1,033.13","996.00","","-1.63%"
"12/02/2022","1,014.22","1,041.35","1,050.38","1,002.63","","-2.60%"
"12/01/2022","1,041.32","1,032.00","1,058.50","1,026.50","","0.83%"
"11/30/2022","1,032.72","1,002.34","1,044.81","1,001.59","","3.04%"
"11/29/2022","1,002.29","987.50","1,013.82","986.94","","1.38%"
"11/28/2022","988.68","981.48","1,008.88","972.94","","0.83%"
"11/25/2022","980.51","988.33","998.00","975.56","","-0.76%"
"11/24/2022","988.00","997.29","1,006.06","985.88","","-0.84%"
"11/23/2022","996.32","989.00","1,006.00","977.25","","0.56%"
"11/22/2022","990.79","981.48","1,003.01","983.01","","0.89%"
"11/21/2022","982.06","977.00","993.37","964.13","","0.52%"
